date,close,volume,ret
2024-01-31,100.00,1200000,0.0000
2024-02-29,103.50,1310000,0.0350
2024-03-31,101.20,1180000,-0.0222
2024-04-30,105.80,1420000,0.0455
2024-05-31,108.10,1360000,0.0217
2024-06-30,106.40,1290000,-0.0157
2024-07-31,111.90,1510000,0.0517
2024-08-31,109.30,1330000,-0.0232
2024-09-30,114.70,1580000,0.0494
2024-10-31,118.20,1620000,0.0305
2024-11-30,116.10,1470000,-0.0178
2024-12-31,121.40,1690000,0.0457
2025-01-31,119.00,1550000,-0.0198
2025-02-28,123.80,1610000,0.0403
2025-03-31,127.30,1720000,0.0283
2025-04-30,124.90,1580000,-0.0189
2025-05-31,130.60,1780000,0.0456
2025-06-30,133.10,1810000,0.0191
2025-07-31,129.70,1660000,-0.0255
2025-08-31,135.40,1870000,0.0439
2025-09-30,138.90,1920000,0.0259
2025-10-31,136.20,1740000,-0.0194
2025-11-30,142.10,1990000,0.0433
2025-12-31,145.80,2050000,0.0260
